crossover_type,crossover_rate,mutation_type,mutation_rate,mutation_std_dev,selection_type,selection_size,distance,case_study,CA_size,population_size,input_locations,input_order,input_percentage,steps,sort_rules,chromosome_evol,input_loc_evol,output_loc_evol,growth_rate_mean_fitness_training,growth_rate_mean_fitness_control,growth_rate_best_fitness_training,growth_rate_best_fitness_control
uniform,0.565848459868832,bit_flip,0.7181131712537485,,roulette,,euclidean,number_plus_one,10,16,random,random,0.12364470268987837,21,low_average_low_std,yes,no,no,0.0011982355985208906,-6.292753586100211e-05,0.0018031040361418216,5.896437666522606e-05
uniform,0.10381585936519233,bit_flip,0.42910419857565996,,roulette,,manhattan,number_plus_one,10,15,evenly_distributed,random,0.9484300337152545,12,equal_behaviour,no,no,no,0.0005313488407826121,0.0004806980254464809,-0.0002350075629504404,-0.00013852067868504826
none,0.7187320317651001,bit_flip,0.007741695833516804,,roulette,,manhattan,number_plus_one,10,13,evenly_distributed,random,0.2358127222792602,17,equal_behaviour,yes,yes,yes,9.421740666588364e-05,0.0005328059562587248,-0.0022075471698113198,-0.000468227424749164
uniform,0.9251047736961268,gaussian,,2.3665847046123325,tournament,4,manhattan,number_plus_one,20,17,random,ordered,0.8702591803800247,24,big_average_low_std,no,no,no,0.00012654140647125263,3.333866640414468e-05,0.0,-4.651295840723162e-05
none,0.17389677565667094,bit_flip,0.6175358079412072,,roulette,,manhattan,number_plus_one,25,10,random,random,0.09503037270838643,13,low_average_low_std,no,no,no,0.0013374583531651596,0.00033882783882783894,0.0,-0.0004975124378109452
uniform,0.05260648398689893,bit_flip,0.5176374148736773,,tournament,8,euclidean,number_divided_by_two,20,12,evenly_distributed,random,0.8237029374292204,24,low_average_low_std,yes,no,yes,7.229959867579219e-05,4.734986119702924e-05,0.00012228707405045598,-0.00019339134855951684
none,0.3403232298281227,bit_flip,0.45849753249277037,,roulette,,manhattan,number_plus_one,20,12,evenly_distributed,ordered,0.34016452229731475,15,random,no,no,no,0.0007895216994656587,0.00022128922006610016,0.0,-0.0005172413793103447
single_point,0.3856067615151363,gaussian,,7.015390785820631,tournament,3,manhattan,number_divided_by_two,25,17,evenly_distributed,ordered,0.31320931760543225,11,random,no,no,no,0.0005084124875579551,0.0003772055317119696,-0.0008320172290021544,-0.0009509616066993116
single_point,0.059312097188766066,bit_flip,0.14471552285276867,,tournament,5,euclidean,number_divided_by_two,25,9,evenly_distributed,random,0.8529215973749822,15,different_behaviour,yes,no,no,8.417518806978198e-05,7.569515119552241e-05,1.5443676380420207e-05,3.0550425863643534e-05
none,0.9189729722426184,bit_flip,0.04213487163526519,,tournament,6,euclidean,number_plus_one,25,11,evenly_distributed,ordered,0.20042938912369257,29,equal_behaviour,no,yes,no,0.00034058672151175164,0.000707694195395831,-0.002238557270068407,0.00013287345457138088
uniform,0.5519014823522095,bit_flip,0.204451267257581,,roulette,,hamming,number_divided_by_two,25,13,evenly_distributed,random,0.655716044213496,20,low_average_low_std,yes,no,no,1.398001637799246e-05,-1.12245409059103e-05,-7.527888592420705e-05,-7.980645056862938e-05
uniform,0.484334487984974,bit_flip,0.9326259829712829,,tournament,6,hamming,number_divided_by_two,10,9,random,ordered,0.3701399275372289,27,big_average_low_std,yes,no,no,0.002104882538569424,0.0016260127564213073,0.004664371772805507,0.0024217462932454685
uniform,0.6853255838618517,bit_flip,0.858221044619185,,tournament,8,hamming,number_plus_one,25,12,evenly_distributed,random,0.33383104562998,29,big_average_big_std,no,no,no,0.00043970130425051516,0.00047018457190082483,0.0,0.0
none,0.43517809723910295,bit_flip,0.676354111556002,,roulette,,manhattan,number_divided_by_two,20,14,random,random,0.7073161167868458,27,big_average_low_std,yes,no,no,-0.00015636616007528266,-0.0001371607367988283,-0.0003726138615336774,-0.0002847347735031702
uniform,0.6396682756439287,bit_flip,0.5737455792669444,,tournament,6,euclidean,number_divided_by_two,25,19,random,random,0.5125125300421233,19,different_behaviour,no,no,no,0.0001964038889412731,0.00031513956179346356,0.0,0.0
none,0.032425237191079814,gaussian,,2.0658765323596167,roulette,,euclidean,number_plus_one,25,16,random,random,0.6882562620128633,18,big_average_low_std,no,no,no,2.3743998202872163e-05,-0.0001220983747681075,-6.254853100595517e-05,-0.0002931570873227722
uniform,0.9196188141123485,bit_flip,0.5531630133439903,,tournament,3,euclidean,number_plus_one,20,15,random,random,0.7352692779859521,29,different_behaviour,yes,no,no,0.0008264045580801515,0.0005712728719378392,0.0007327875463839022,0.0004913948102674359
single_point,0.6958219643315748,bit_flip,0.08421052697786358,,tournament,2,manhattan,number_plus_one,20,11,evenly_distributed,random,0.8403611868393458,17,big_average_big_std,no,yes,yes,0.00038316738085208854,0.00010220792865182912,0.00032718033763868746,2.89707160697726e-05
none,0.5035232356304972,bit_flip,0.04042497111572463,,tournament,5,manhattan,number_plus_one,25,9,evenly_distributed,ordered,0.68997374404669,27,equal_behaviour,yes,no,yes,0.0005029896371960154,0.0008583528907882181,-0.0002157402377542418,0.00020921060053338762
